Species,Category
Lipotes vexillifer,Fauna
Lissorhoptrus oryzophilus,Fauna
Litchi chinensis,Flora
Lobelia erinus,Flora
Locusta migratoria,Fauna
Locusta migratoria migratoria,Fauna
Lodderomyces beijingensis CBS 14171,Fungi
Lodderomyces elongisporus NRRL YB-4239,Fungi
Lonicera japonica,Flora
Lonicera macranthoides,Flora
Lota lota,Fauna
Lotus japonicus,Flora
Lotus japonicus Gifu B-129,Flora
Loxostigma kurzii,Flora
Lupinus albus,Flora
Lupinus angustifolius,Flora
Lycium barbarum,Flora
Lycium barbarum var. auranticarpum,Flora
Lycium chinense,Flora
Lycium ruthenicum,Flora
Lycoris sprengeri,Flora
Lynceus sp. MCZ IZ 141354,Fauna
Lynx canadensis,Fauna
Lynx rufus,Fauna
Lysionotus pauciflorus,Flora
Macaca fascicularis,Fauna
Macaca mulatta,Fauna
Maclura pomifera,Flora
Macrothrix elegans,Fauna
Magnolia liliiflora,Flora
Malassezia arunalokei CBS 13387,Fungi
Malassezia brasiliensis CBS 14135,Fungi
Malassezia caprae CBS 10434,Fungi
Malassezia cuniculi CBS 11721,Fungi
Malassezia equina CBS 12830,Fungi
Malassezia furfur,Fungi
Malassezia japonica CBS 9431,Fungi
Malassezia nana CBS 9557,Fungi
Malassezia obtusa CBS 7876,Fungi
Malassezia psittaci CBS 14136,Fungi
Malassezia restricta CBS 7877,Fungi
Malassezia restricta KCTC 27527,Fungi
Malassezia sp. CBS 17886,Fungi
Malassezia sympodialis ATCC 42132,Fungi
Malassezia vespertilionis CBS 15041,Fungi
Malassezia yamatoensis CBS 9725,Fungi
Malus baccata,Flora
Malus domestica,Flora
Malus domestica x Pyrus communis,Flora
Malus hybrid cultivar,Flora
Malus pumila,Flora
Malus sieboldii,Flora
Malus toringoides,Flora
Malus trilobata,Flora
Mangifera indica,Flora
Manihot esculenta,Flora
Manis pentadactyla,Fauna
Marchantia emarginata,Flora
Marchantia paleacea,Flora
Marchantia polymorpha subsp. ruderalis Tak-1,Flora
Marchantia polymorpha subsp. ruderalis Takaragaike-1,Flora
Marchantia polymorpha subsp. ruderalis Takaragaike-2,Flora
Matthiola incana,Flora
Mayetiola destructor,Fauna
Medicago sativa,Flora
Medicago truncatula,Flora
Megafenestra aurita,Fauna
Melanogrammus aeglefinus,Fauna
Melanopsichium pennsylvanicum 4,Fungi
Meloidogyne graminicola,Fauna
Mentha x piperita,Flora
Merluccius merluccius,Fauna
Metarhizium brunneum 4556,Fungi
Meteorus pulchricornis Zhengjiang,Fauna
Metschnikowia aff. pulcherrima APC 1.2,Unknown
Miconia microphysca,Flora
Microcos paniculata,Flora
Micromonas commoda sp. RCC299,Flora
Mikania micrantha,Flora
Millerozyma farinosa CBS 7064,Fungi
Mirabilis jalapa,Flora
Mirounga angustirostris,Fauna
Mitragyna speciosa,Flora
Moesziomyces antarcticus,Fungi
Moesziomyces aphidis,Fungi
Moina brachiata,Fauna
Monascus purpureus KUPM5,Fungi
Monilinia vaccinii-corymbosi RL-1,Fungi
Monochamus alternatus,Fauna
Monosporozyma servazzii,Fungi
Monosporozyma unispora,Fungi
Morella rubra,Flora
Morus alba,Flora
Morus alba var. atropurpurea,Flora
