NP_171646.1	AEE27281.1
NP_171646.1	AHL38977.1
NP_171646.1	OAP14484.1
KFK42529.1	KFK42529.1
AAF97324.1	AAF97324.1
EFH65628.1	EFH65628.1
OMO64333.1	OMO64333.1
XP_022757519.1	XP_022757519.1
XP_012083243.1	XP_012083243.1
XP_012083243.1	KDP28511.1
EOX95757.1	EOX95757.1
XP_021688196.1	XP_021688196.1
XP_007051600.2	XP_007051600.2
KAB1219588.1	KAB1219588.1
XP_021280942.1	XP_021280942.1
XP_021612299.1	XP_021612299.1
XP_021612299.1	OAY49044.1
XP_002280923.1	XP_002280923.1
XP_002280923.1	CBI40488.3
XP_002280923.1	RVX09917.1
XP_002320190.1	XP_002320190.1
XP_002320190.1	PNT03918.1
XP_012490092.1	XP_012490092.1
XP_012490092.1	KJB41496.1
XP_011037856.1	XP_011037856.1
TYJ08937.1	TYJ08937.1
XP_021653799.1	XP_021653799.1
XP_016692932.1	XP_016692932.1
XP_016692932.1	TYG93432.1
XP_016692932.1	TYI00073.1
TYG44623.1	TYG44623.1
TYG44623.1	TYI54960.1
TYG44623.1	KAB2003042.1
XP_020413344.1	XP_020413344.1
XP_020413344.1	ONI23369.1
XP_016710038.1	XP_016710038.1
XP_024176111.1	XP_024176111.1
XP_021808014.1	XP_021808014.1
XP_017630967.1	XP_017630967.1
VVA23740.1	VVA23740.1
TYH43150.1	TYH43150.1
XP_027115389.1	XP_027115389.1
XP_031262984.1	XP_031262984.1
TKS14440.1	TKS14440.1
XP_027160895.1	XP_027160895.1
XP_010556587.1	XP_010556587.1
XP_008233208.1	XP_008233208.1
XP_027108518.1	XP_027108518.1
XP_027108518.1	CDP08704.1
XP_021612048.1	XP_021612048.1
XP_021612048.1	OAY62183.1
TXG63001.1	TXG63001.1
PPS19806.1	PPS19806.1
PPS19806.1	TYH10226.1
PPS19806.1	TYI19391.1
PPS19806.1	KAB2074406.1
XP_010053796.1	XP_010053796.1
KAE8697270.1	KAE8697270.1
TQE13474.1	TQE13474.1
XP_018827906.1	XP_018827906.1
XP_010266460.1	XP_010266460.1
XP_017614808.1	XP_017614808.1
TYG61637.1	TYG61637.1
TYG61637.1	KAB2021656.1
XP_016745577.1	XP_016745577.1
TYJ26917.1	TYJ26917.1
TYH63046.1	TYH63046.1
XP_008350138.1	XP_008350138.1
XP_006444877.1	XP_006444877.1
XP_006444877.1	ESR58117.1
XP_006444877.1	GAY51362.1
XP_022733923.1	XP_022733923.1
XP_006491243.1	XP_006491243.1
XP_006491243.1	KDO86416.1
XP_002301402.2	XP_002301402.2
XP_002301402.2	PNT50125.1
XP_011023207.1	XP_011023207.1
XP_023746395.1	XP_023746395.1
XP_023746395.1	PLY64243.1
PPD98686.1	PPD98686.1
XP_012481207.1	XP_012481207.1
XP_012481207.1	KJB09679.1
PSS26289.1	PSS26289.1
NP_001351694.1	NP_001351694.1
AIZ00426.1	AIZ00426.1
AGU14071.1	AGU14071.1
KAE8726741.1	KAE8726741.1
AIE12483.1	AIE12483.1
KAE8681538.1	KAE8681538.1
XP_030457300.1	XP_030457300.1
BAG80556.1	BAG80556.1
BBB16128.1	BBB16128.1
KCW78150.1	KCW78150.1
PON97538.1	PON97538.1
EOA36463.1	EOA36463.1
XP_009628747.1	XP_009628747.1
XP_009628747.1	XP_016512955.1
XP_028794762.1	XP_028794762.1
XP_010053797.1	XP_010053797.1
XP_010053797.1	KCW78151.1
XP_030966425.1	XP_030966425.1
Q9AR73.1	Q9AR73.1
Q9AR73.1	CAC35167.1
XP_008376064.2	XP_008376064.2
XP_019230479.1	XP_019230479.1
XP_019230479.1	OIT29409.1
XP_019230479.1	AQQ16676.1
XP_023902337.1	XP_023902337.1
BAF49302.1	BAF49302.1
QDM38905.1	QDM38905.1
XP_019239435.1	XP_019239435.1
XP_019239435.1	XP_019257988.1
XP_019239435.1	OIS96295.1
XP_019239435.1	OIT21022.1
XP_019239435.1	AQQ16702.1
XP_019239435.1	AQQ16714.1
PON42236.1	PON42236.1
XP_009788732.1	XP_009788732.1
